data.title,data.id,trump_loss,biden_president,election_fraud,covid,anti_trump,trump_last_month,date
Trump Lawyer Jenna Ellis Receives Threats: 'You Deserved to Be Raped',k1hr9e,0,0,1,0,1,0,11.26
"Computer Repairman Who Found Hunter Biden's Laptop Has Vanished, Reports Cite 'Death Threats'",k1isqi,0,0,0,0,0,0,11.26
Newsmax/McLaughlin Poll: Two-Thirds of Nation Backs Trump on Recounts,k1jxva,1,0,1,0,0,0,11.26
Thanksgiving Proclamation: Donald Trump Celebrates 400th Anniversary of Plymouth Rock Landing,k1l71u,0,0,0,0,0,1,11.26
AOC insists Biden can use executive order to cancel student loan debt,k1o2ht,0,1,0,0,0,0,11.26
Mattis didn't disclose ties to China-boosting firm in column slamming Trump's 'America First' policy,k1pe3o,0,0,0,0,1,0,11.26
Justin Webb: Biden’s battle with his leftist party is just beginning,k1phbw,0,1,0,0,0,0,11.26
Trump Says He'll Leave Office if Electoral College Votes for Biden,k1q4qj,1,0,0,0,0,1,11.26
Biden breaks Obama’s record for lowest number of counties won,k1qtwn,0,1,0,0,0,0,11.26
Infographic: The 4-Year-Long Campaign Against Trump,k1r3jc,0,0,0,0,1,0,11.26
"Trump Encourages Americans to Offer Thanks to God, Get Together With Family for Thanksgiving",k1r7g8,0,0,0,1,0,1,11.26
Trump plans to hold Georgia rally ahead of Senate runoff elections,k1rk7x,1,0,1,0,0,1,11.26
Trump Says He'll Leave Office if Electoral College Votes for Biden,k1ru1b,1,0,0,0,0,0,11.27
Republicans commend President Trump for pardoning Gen. Michael Flynn | One America News Network,k1sb2n,1,0,0,0,0,1,11.26
Donald Trump Says He Will Campaign in Georgia December 5,k1tf1w,0,0,1,0,0,1,11.27
Mexican President Obrador Still Refuses to Recognize Biden Win: “We do not agree with offering congratulations in advance.”,k1tmrg,0,1,0,0,0,0,11.27
Trump’s leaving Biden a Christmas gift of Middle East peace — will Joe throw it in the trash?,k1tztp,0,1,0,0,0,0,11.27
The New Republic: The Biden Popular Front Is Doomed to Unravel: It may turn out that Donald Trump was the one force keeping the Democratic Party together.,k1u1fj,1,1,0,0,0,0,11.27
Trump says it will be 'hard' to concede US vote,k1u2s8,1,0,0,0,0,0,11.27
Trump Says Coronavirus Vaccine Deliveries to Begin Next Week,k1uyyf,0,0,0,1,0,0,11.27
First exhibits from The KRAKEN. a.k.a. the legal docket for King v. Whitmer a.k.a. Biden's fake time as a fake president-elect is over and I hope he saved his receipts,k1uz4l,0,0,1,0,0,0,11.27
Tom Cotton: Biden’s Pick For Homeland Security Is ‘Disqualified’ For ‘Selling Citizenship’ To Chinese Nationals,k1v6fm,0,1,0,0,0,0,11.27
Computer repairman who claimed he gave Hunter Biden data to Giuliani closes shop as laptop saga gets stranger,k2195p,0,1,0,0,0,0,11.27
Israel-Saudi-UAE alliance signals to Biden to tread lightly with Iran,k21luc,0,1,0,0,0,0,11.27
"Democrats Want Unity Only on Their Terms -- Many Trump haters have been lying all along about President Donald Trump, what he stands for, what his record has been, and who his supporters are. Now they tell us they want unity.",k22itk,1,0,0,0,0,0,11.27
"Donald Trump: 'Facts Are on Our Side' in Election Fight, but 'Time Isn't'",k22lf5,1,0,0,0,0,0,11.27
"Despite push from progressives, Biden unlikely to offer Sanders and Warren jobs",k2465g,0,1,0,0,0,0,11.27
"President Trump says he'll 'certainly' leave office if he loses Electoral College vote, but vows legal fight is 'far from over'",k246k2,0,0,1,0,0,0,11.27
"Keith Olbermann: We’d Like Prisons To Be Filled up with Trumps, Trump Flunkies, and Trump Apologists: AIR.TV",k24c2e,0,0,0,0,1,0,11.27
"CNN: Covid, Economic Recovery, Racial Inequality Top Priorities for Biden: AIR.TV",k24cg9,0,1,0,1,0,0,11.27
Computer Repairman Who Threatened Biden's Electoral Prospects Goes Into Hiding,k24d1g,0,1,0,0,0,0,11.27
Leftists Fomented Attempts To Have State Electors Vote Against Trump In 2016,k24eeo,1,0,0,0,1,1,11.27
Trump Says Coronavirus Vaccine Deliveries to Begin Next Week,k24iy6,0,0,0,1,0,0,11.27
Trump says Biden can only enter the White House as president if he can 'prove' his 'ridiculous 80M votes' were NOT 'obtained by fraud' as he appears to row back peaceful transition claims,k24m97,0,1,0,0,0,0,11.27
Donald Trump says he will leave White House if electoral college votes for Joe Biden | US news,k24wp1,1,0,0,0,0,0,11.27
Trump and CDC: Coronavirus vaccine deliveries will begin early December,k258va,0,0,0,1,0,0,11.27
3rd Circuit Court of Appeals Issues Ruling in Trump Campaign v. Pennsylvania,k25sn9,0,0,1,0,0,0,11.27
PENNSYLVANIA.🚨 State senator @dougmastriano is drafting a *joint resolution* to stript the Secretary of State's power to appoint presidential electors. This is the ultimate TRUMP CARD that GOP-controlled state legislatures can wield to fight back against election fraud!,k26jxc,0,0,1,0,0,0,11.27
"To Save Time, The Babylon Bee Will Now Just Republish Everything Biden Says Verbatim",k26yrk,0,1,0,0,0,0,11.27
Court Denies Trump Campaign’s Appeal of Pennsylvania Ballot Challenge,k26yxj,0,0,1,0,0,0,11.27
President Trump the First Since Carter Not to Get U.S. Involved in New Wars,k2797i,1,0,0,0,0,0,11.27
"Chinese State Media Feels Biden's Personnel Picks 'Good For China,' 'Softer' Than Trump",k27ftu,0,1,0,0,0,0,11.27
‘Repeal Section 230!’: President Trump Criticizes Big Tech For ‘Suppression’ Of Biden Email Story,k27l9j,0,0,0,0,0,1,11.27
"Trump team removes members of Pentagon's Defense Policy Board, including Kissinger, Albright",k28gxe,0,0,0,0,0,1,11.27
Arizona State Legislature to Hold 'Urgent' Election Integrity Hearing With Trump's Lawyers,k29s72,0,0,1,0,0,0,11.27
"Donald Trump Calls for Section 230 Repeal as Parler CEO Says Facebook, Twitter 'Not Neutral Actors'",k2ar2b,0,0,0,0,0,1,11.27
"Trump Slams Twitter For ‘Conservative Discrimination,’ Calls For Repeal Of Section 230",k2bvqq,0,0,0,0,0,1,11.27
Sidney Powell Witness Whom NY Times Described as “Always the Smartest Person in the Room” Concludes Hundreds of Thousands of Votes Transferred from Trump to Biden IN ALL BATTLEGROUND STATES,k2c4x6,0,0,1,0,0,0,11.27
"'Cover Up': Trump Lawyers React After Third Circuit Rejects PA Lawsuit -- ""Charges of unfairness are serious,"" Judge Stephanos Bibas wrote in his 21-page opinion on Friday. ""But calling an election unfair does not make it so."" Jenna Ellis responds: ""On to SCOTUS!""",k2c7ch,0,0,1,0,0,0,11.27
"WSJ Editorial Board: Biden, Iran and the Bomb",k2comu,0,1,0,0,0,0,11.27
Milwaukee County presidential recount wraps up with Biden adding to his margin over Trump,k2cxxq,0,1,0,0,0,0,11.27
Joe Biden Says Coal Miners ‘Better Learn to do Windows 95’,k2d1wy,0,1,0,0,0,0,11.27
Mnuchin plans to move $455B in coronavirus relief out of Biden's reach,k2dbpv,0,0,0,1,0,0,11.27
"The 4 Year Campaign Against Trump (and they want him to concede to be a ""good sport"")",k2domm,0,0,0,0,1,0,11.27
CIA cyber-crime expert: Hundreds of thousands of votes flipped to Biden -- N.Y. Times reported analyst regarded as 'always the smartest person in the room',k2dvtv,0,0,1,0,0,0,11.27
Trump Campaign Spends 3 Million on Partial Wisconsin Recount - Results in Biden's lead extending by 132 votes.,k2ea4e,0,0,1,0,0,0,11.27
